scorer,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000,DLC_resnet50_Please_use_this_oneMay20shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1252.0986328125,122.80394744873047,0.4504431486129761,657.0101318359375,359.36749267578125,0.015315145254135132,1427.65478515625,361.752685546875,0.559582531452179
1,1251.4066162109375,123.26820373535156,0.4050498604774475,656.9024047851562,359.3363342285156,0.010042518377304077,1427.7362060546875,361.6892395019531,0.5537238121032715
2,1244.7718505859375,123.5178451538086,0.42756035923957825,655.9822998046875,352.83544921875,0.01231655478477478,1427.5859375,362.1181640625,0.5631869435310364
3,1244.2947998046875,123.98655700683594,0.4416273236274719,657.006103515625,359.30047607421875,0.01762598752975464,1427.3968505859375,362.3669128417969,0.5793780088424683
4,1243.8123779296875,125.00230407714844,0.43714696168899536,656.9227905273438,359.12774658203125,0.014018058776855469,1427.05078125,362.6870422363281,0.5839058756828308
5,1243.7012939453125,125.298583984375,0.4632567763328552,656.412841796875,352.89935302734375,0.012622356414794922,1426.9439697265625,362.58544921875,0.6099889874458313
6,1238.2591552734375,123.2862548828125,0.43479394912719727,1433.7332763671875,376.88018798828125,0.011709064245223999,1426.7783203125,363.1479797363281,0.6108423471450806
7,1243.4200439453125,125.97830963134766,0.41588297486305237,1433.757568359375,376.80914306640625,0.010807067155838013,1426.63037109375,363.7560119628906,0.6017042994499207
8,1237.98095703125,124.0188980102539,0.4440174400806427,1433.194091796875,377.2947692871094,0.012474089860916138,1425.95849609375,364.4278564453125,0.5898309350013733
9,1237.3236083984375,124.77334594726562,0.4450575113296509,1244.402099609375,126.80040740966797,0.01499912142753601,1422.1932373046875,364.5486145019531,0.539008617401123
10,1237.4832763671875,125.05221557617188,0.43153855204582214,657.4472045898438,359.4586486816406,0.013677388429641724,1421.541259765625,365.3144226074219,0.48915496468544006
11,1236.87890625,124.38471221923828,0.4877993166446686,655.7283325195312,352.42681884765625,0.015261799097061157,1421.350341796875,365.0975646972656,0.49100109934806824
12,1236.8748779296875,124.2582015991211,0.47278130054473877,1439.0712890625,379.18621826171875,0.013769716024398804,1421.06689453125,364.6145324707031,0.5327000021934509
13,1236.5089111328125,124.07988739013672,0.47993770241737366,1432.03271484375,378.0518798828125,0.010920286178588867,1420.5823974609375,364.4441223144531,0.5526250004768372
14,1229.181396484375,117.88590240478516,0.4735841751098633,1431.9666748046875,377.936767578125,0.010656923055648804,1420.1715087890625,364.3508605957031,0.506426215171814
15,1229.1671142578125,116.989990234375,0.49563995003700256,656.0728759765625,352.5122375488281,0.01419907808303833,1419.4306640625,364.2406921386719,0.5067688226699829
16,1235.0625,117.10456848144531,0.5145469307899475,1431.73388671875,378.0125732421875,0.012498557567596436,1419.481201171875,364.4270324707031,0.54050612449646
17,1241.02734375,116.78692626953125,0.5210916996002197,656.98876953125,352.5880126953125,0.015848875045776367,1419.114501953125,364.2875671386719,0.5285836458206177
18,1241.1951904296875,116.51519012451172,0.5330427289009094,656.3908081054688,352.847900390625,0.014089912176132202,1418.927734375,364.0598449707031,0.4947526454925537
19,1242.3173828125,116.24459075927734,0.5314409732818604,1431.5025634765625,378.0481872558594,0.012727469205856323,1418.6016845703125,364.3386535644531,0.48887723684310913
20,1242.125244140625,115.6548080444336,0.5112378001213074,656.0477294921875,353.14910888671875,0.015180319547653198,1418.683349609375,363.9622802734375,0.4280119836330414
21,1242.9384765625,115.66117095947266,0.48390260338783264,1432.6224365234375,384.9046630859375,0.017052024602890015,1418.4100341796875,363.8463439941406,0.42352330684661865
22,1243.0521240234375,115.57862854003906,0.5175808668136597,1421.607177734375,375.5554504394531,0.02063596248626709,1418.940185546875,363.3550109863281,0.42271900177001953
23,1243.303466796875,115.91548919677734,0.5424594879150391,1421.7933349609375,375.30291748046875,0.018511712551116943,1419.516357421875,362.9648742675781,0.36879685521125793
24,1243.6546630859375,116.41050720214844,0.542842447757721,656.6961669921875,352.7792053222656,0.021353423595428467,1420.732421875,359.57464599609375,0.3540833592414856
25,1243.355224609375,116.53687286376953,0.5334726572036743,656.3953857421875,352.592529296875,0.01611185073852539,1425.416015625,363.9761657714844,0.41475051641464233
26,1243.8564453125,117.3674087524414,0.5168951153755188,1433.351806640625,377.26287841796875,0.008595138788223267,1426.163330078125,363.8839111328125,0.5319538116455078
27,1243.909423828125,117.2068862915039,0.542273998260498,657.1209106445312,359.5325012207031,0.0110090970993042,1426.8255615234375,363.3725891113281,0.5913186073303223
28,1244.1622314453125,117.46990203857422,0.563188910484314,1446.5806884765625,371.7900085449219,0.008097261190414429,1427.450927734375,362.95068359375,0.6145129203796387
29,1244.9517822265625,117.34453582763672,0.5465162396430969,655.908935546875,352.7135925292969,0.011758238077163696,1427.955322265625,362.8350524902344,0.5949754118919373
30,1255.41259765625,118.0273208618164,0.6136621832847595,656.2791137695312,352.45806884765625,0.01064416766166687,1428.3306884765625,362.6461486816406,0.5696050524711609
31,1254.6572265625,117.2770004272461,0.6477725505828857,656.1715087890625,352.4620361328125,0.014225751161575317,1428.49560546875,363.3393249511719,0.5370176434516907
32,1255.4337158203125,116.81008911132812,0.6858668923377991,1271.025390625,124.07657623291016,0.012737512588500977,1428.9996337890625,363.14227294921875,0.5388683080673218
33,1256.3563232421875,116.82892608642578,0.6579281687736511,1447.9552001953125,384.7516174316406,0.011497825384140015,1428.8599853515625,363.58148193359375,0.5457403659820557
34,1258.3387451171875,116.42073059082031,0.6363022327423096,656.6277465820312,352.1246643066406,0.016875028610229492,1428.947265625,363.7875061035156,0.5178312063217163
35,1259.24560546875,115.04537963867188,0.63609379529953,657.7041625976562,359.71173095703125,0.014443457126617432,1428.846923828125,363.9389953613281,0.509131908416748
