scorer,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1414.330810546875,409.1844177246094,0.9550157785415649,1405.4813232421875,463.79962158203125,0.9495443105697632,1532.96875,488.08990478515625,0.921803891658783
1,1414.4088134765625,410.2593078613281,0.9617936015129089,1405.68408203125,464.7026062011719,0.9551190137863159,1532.5030517578125,489.0121154785156,0.9206780791282654
2,1414.4521484375,410.8752136230469,0.9670470356941223,1405.8525390625,464.8154602050781,0.9545947313308716,1532.8450927734375,488.90130615234375,0.9236199855804443
3,1415.076904296875,411.4396667480469,0.9652498960494995,1406.503662109375,465.43121337890625,0.9520463943481445,1532.107421875,488.121826171875,0.9225648641586304
4,1416.080810546875,411.7213134765625,0.9637192487716675,1407.1552734375,465.43255615234375,0.9459955096244812,1532.439697265625,488.5100402832031,0.9221524000167847
5,1417.314208984375,410.6764221191406,0.9650216698646545,1407.6353759765625,466.176513671875,0.9482246041297913,1532.6256103515625,488.5013122558594,0.9183300137519836
6,1417.970458984375,410.7032470703125,0.9635659456253052,1408.23193359375,466.2200927734375,0.9379055500030518,1533.184814453125,489.577392578125,0.9187387228012085
7,1419.289794921875,410.77655029296875,0.9660313129425049,1408.96533203125,466.4479064941406,0.9307039380073547,1532.9801025390625,488.3592224121094,0.9215749502182007
8,1420.0498046875,410.9686279296875,0.9627963304519653,1410.3394775390625,465.9045715332031,0.9251149892807007,1533.2708740234375,489.7441711425781,0.9209886789321899
9,1420.6329345703125,411.5881652832031,0.9616509675979614,1410.8426513671875,466.24609375,0.9273363351821899,1533.1422119140625,488.6183166503906,0.9247746467590332
10,1420.945068359375,412.53375244140625,0.9615699648857117,1411.2357177734375,466.58135986328125,0.9284535646438599,1533.285400390625,488.5342712402344,0.9210814237594604
11,1421.2169189453125,413.05963134765625,0.9574484825134277,1411.4293212890625,466.6710510253906,0.9281429052352905,1533.0950927734375,488.8703308105469,0.9244511723518372
12,1420.9873046875,413.3567199707031,0.9578023552894592,1411.7437744140625,467.2603759765625,0.9314464330673218,1533.1419677734375,489.1393127441406,0.9232845306396484
13,1421.0765380859375,414.9483642578125,0.951101541519165,1412.13916015625,467.6739196777344,0.9276758432388306,1533.0140380859375,489.8572082519531,0.9250799417495728
14,1421.296142578125,415.4944152832031,0.9586145877838135,1412.177734375,468.2434997558594,0.9279478788375854,1532.974853515625,490.63751220703125,0.9255732893943787
15,1421.2723388671875,416.38592529296875,0.9595808386802673,1412.2672119140625,468.8393859863281,0.9284173250198364,1533.032958984375,491.4184265136719,0.9271770715713501
16,1421.263916015625,417.27001953125,0.9620071649551392,1412.22021484375,469.3658752441406,0.9305280447006226,1533.2320556640625,491.25665283203125,0.922324001789093
17,1421.179931640625,417.8330078125,0.9621111154556274,1412.2974853515625,469.65191650390625,0.9315839409828186,1532.9443359375,491.687255859375,0.9267951846122742
18,1421.4525146484375,418.4002990722656,0.9624056816101074,1412.261474609375,470.0997314453125,0.9294881820678711,1532.669189453125,492.1236572265625,0.9264697432518005
19,1421.2568359375,419.0733947753906,0.9586217403411865,1412.511474609375,470.348876953125,0.9317245483398438,1532.7479248046875,492.37908935546875,0.9251137971878052
20,1420.881591796875,419.27813720703125,0.9591643810272217,1412.2828369140625,470.3818054199219,0.9322845339775085,1532.519287109375,492.527587890625,0.9233367443084717
21,1420.6400146484375,419.90802001953125,0.9560459852218628,1412.2867431640625,470.8370666503906,0.9257570505142212,1532.5650634765625,492.7149658203125,0.924464225769043
22,1420.446533203125,420.1772155761719,0.9561121463775635,1412.4134521484375,470.86932373046875,0.9290289282798767,1532.404541015625,492.6582946777344,0.9258041977882385
23,1420.361083984375,420.9527587890625,0.9526103734970093,1412.384033203125,471.4139099121094,0.9169921875,1532.1796875,492.74517822265625,0.9282751083374023
24,1420.246826171875,421.1050109863281,0.9534578323364258,1412.4339599609375,471.7674865722656,0.914976179599762,1532.029541015625,493.2669677734375,0.9244620203971863
25,1420.38037109375,421.38275146484375,0.9542833566665649,1412.7000732421875,473.8105773925781,0.9189438819885254,1531.9405517578125,493.3332214355469,0.9249259233474731
26,1419.6185302734375,421.985107421875,0.9513617753982544,1412.3001708984375,474.01580810546875,0.9177553057670593,1531.48486328125,493.28131103515625,0.9266704320907593
27,1419.082763671875,422.4285583496094,0.9507480263710022,1411.6400146484375,473.9855041503906,0.9159613847732544,1531.704345703125,493.0143737792969,0.9241726994514465
28,1418.589599609375,422.20098876953125,0.9502516388893127,1411.3524169921875,473.8869934082031,0.9184219837188721,1531.5694580078125,492.9785461425781,0.9274770021438599
29,1417.7845458984375,422.0236511230469,0.9479586482048035,1409.9749755859375,472.0050354003906,0.9188041687011719,1531.626708984375,492.6294860839844,0.9322867393493652
30,1416.6385498046875,421.7834777832031,0.948745846748352,1410.0244140625,471.70086669921875,0.9211394786834717,1531.3272705078125,492.62652587890625,0.9325026273727417
31,1414.7288818359375,422.1150207519531,0.9485220909118652,1409.4124755859375,471.4114990234375,0.91990065574646,1531.0296630859375,492.5213317871094,0.9302175045013428
32,1414.6162109375,421.8338928222656,0.9453126192092896,1409.3123779296875,471.2787780761719,0.9228218793869019,1530.80810546875,492.5046081542969,0.9283435344696045
33,1414.014892578125,421.15899658203125,0.9476636648178101,1408.9661865234375,471.1248779296875,0.9221451282501221,1531.1697998046875,492.3153076171875,0.9328361749649048
34,1413.3482666015625,421.0411071777344,0.9523404836654663,1408.861083984375,470.82086181640625,0.9228618741035461,1530.7730712890625,492.6679992675781,0.9320422410964966
35,1412.7589111328125,420.6945495605469,0.9534362554550171,1408.597412109375,470.47015380859375,0.9253572225570679,1530.381103515625,492.7013854980469,0.9327095746994019
