scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,1287.4021,460.3415222,0.92128545,1234.814697,603.9351807,0.883239567,1303.008911,663.2592163,0.891919911
44,1289.25769,460.7981262,0.917668402,1235.066772,604.104126,0.881599307,1304.212646,662.5298462,0.87957263
45,1292.024902,455.0411682,0.933475971,1236.400635,604.496582,0.899291635,1304.551147,662.4398193,0.869918585
46,1292.936279,453.8573914,0.941334426,1235.905273,604.8048706,0.904227316,1304.883667,662.2803955,0.884009957
47,1293.624146,452.7909546,0.93972069,1236.655151,602.9690552,0.896714509,1306.06897,661.6456299,0.898019671
48,1293.640381,452.7363281,0.949243546,1237.248291,602.6361084,0.908579111,1305.468262,661.8168945,0.903491199
49,1294.752319,452.9611511,0.956605673,1238.320801,600.7650146,0.862963438,1305.741089,661.1187134,0.905653954
50,1294.200928,451.5798035,0.954979897,1238.455566,599.126709,0.839139521,1305.305908,660.5135498,0.91813457
51,1292.703857,451.5385742,0.942087173,1238.523804,598.2353516,0.869255722,1305.842529,660.21698,0.91468668
52,1291.763306,453.3094482,0.930267096,1239.342651,596.9731445,0.882367194,1306.049927,659.2463379,0.907213569
53,1294.15332,449.307373,0.926664352,1242.138184,597.9395752,0.843145251,1309.111694,655.8325806,0.809889793
54,1298.82605,451.5424194,0.947476268,1239.442017,602.1646118,0.832573771,1330.630127,659.4403076,0.866555572
55,1306.407715,454.3288574,0.934661508,1241.494263,609.25177,0.759888291,1349.892334,674.1809082,0.684196115
56,1313.80188,459.3841553,0.903433621,1244.850098,619.4646606,0.802228689,1368.310303,686.3032837,0.677590489
57,1320.166382,465.6748657,0.948666692,1257.324097,628.2198486,0.705498993,1370.553101,694.3897095,0.718575418
58,1322.636963,469.8873291,0.940491438,1267.739014,634.1940918,0.757623911,1367.351196,696.3202515,0.65578419
59,1323.811646,475.8725281,0.9330042,1274.925049,638.2007446,0.818406641,1361.714233,701.4024048,0.585992694
60,1321.825928,475.6175842,0.899698198,1272.137329,641.1948242,0.829156637,1355.108032,694.7746582,0.770449281
61,1316.621582,473.1930237,0.874251246,1269.520508,636.1799316,0.876649022,1348.578979,679.5907593,0.747339725
62,1303.929321,472.2039185,0.795485854,1259.105835,626.2692871,0.88568449,1349.230591,653.7109985,0.718828559
63,1298.248657,465.203125,0.895375609,1241.171509,606.3566284,0.587824464,1346.560181,633.9335327,0.807239771
64,1300.543091,453.9017334,0.894026041,1236.405029,586.442749,0.68227613,1350.578735,610.6813354,0.851488948
65,1305.555542,435.9247131,0.92209065,1238.013672,570.8502808,0.754802883,1355.872681,591.3325195,0.789385319
66,1305.286987,422.3050537,0.898166656,1244.313477,560.5205078,0.689299703,1383.36377,580.401123,0.796288967
67,1310.258057,408.7055969,0.909799695,1253.187378,551.0671997,0.778723836,1398.318726,568.6062622,0.718001842
68,1315.340088,396.9057312,0.93571806,1266.064087,540.845459,0.814662397,1427.946777,566.234375,0.627455652
69,1318.570923,386.2184143,0.899673343,1277.606445,533.3614502,0.77913332,1446.44751,563.8665161,0.549313128
70,1323.836792,379.1004333,0.920251369,1291.032471,530.7978516,0.834962487,1459.079346,563.72229,0.660903454
71,1329.375488,370.0202637,0.885926843,1297.648315,531.0422974,0.83600527,1469.520874,573.9384766,0.723372638
72,1332.538208,363.9959717,0.910229564,1298.376343,532.1056519,0.827282906,1474.435059,583.0911255,0.74465245
73,1330.929199,370.1595154,0.916289687,1298.445679,538.9109497,0.752260923,1469.763428,595.9960938,0.840483189
74,1326.75708,374.29599,0.917524993,1291.625,547.6907349,0.836439133,1466.522217,610.5546875,0.808285832
75,1322.26123,377.2139587,0.869565725,1287.599609,553.7324829,0.847940564,1458.747803,623.8360596,0.687141061
76,1317.800293,387.9885559,0.899531364,1277.063599,561.2700195,0.856325209,1447.237427,631.187439,0.775184095
