,level_0,,x,frame,index,treatment,cno,plexi_x,plexi_y,plexipixwidth,pixpermm,startframe,numframes,minframebef,peakframe,aroundpeakframes,fixind,goodbad,marker,rat,file,frame_md,time
231,31,-209.71710524577347,-19.704652001604664,31,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,31,0.124
232,32,-209.5499999826294,-19.825391265831907,32,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,32,0.128
233,33,-209.38289471948536,-19.946793484289156,33,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,33,0.132
234,34,-209.21578945634133,-20.06305865740519,34,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,34,0.136
235,35,-209.0486841931973,-20.154617736216476,35,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,35,0.14
236,36,-208.88157893005325,-20.22794387382007,36,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,36,0.144
237,37,-208.7144736669092,-20.272684784932018,37,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,37,0.148
238,38,-208.54736840376515,-20.317095918811653,38,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,38,0.152
239,39,-208.3802631406211,-20.34199919950275,39,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,39,0.156
240,40,-208.21315787747707,-20.35405816695826,40,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,40,0.16
241,41,-208.04605261433304,-20.354394743721183,41,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,41,0.164
242,42,-207.878947351189,-20.362890757161065,42,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,42,0.168
243,43,-207.71184208804496,-20.35765511862666,43,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,43,0.172
244,44,-207.5447368249009,-20.342169187766867,44,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,44,0.176
245,45,-207.37763156175686,-20.330137418433626,45,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,45,0.18
246,46,-207.21052629861282,-20.31126192158763,46,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,46,0.184
247,47,-207.04342103546878,-20.29432769071764,47,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,47,0.188
248,48,-206.87631577232474,-20.2648449261916,48,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,48,0.192
249,49,-206.70921050918068,-20.234889594291328,49,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,49,0.196
250,50,-206.54210524603664,-20.214025234755287,50,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,50,0.2
251,51,-206.3749999828926,-20.193341062779204,51,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,51,0.204
252,52,-206.20789471974857,-20.173897805131087,52,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,52,0.208
253,53,-206.04078945660453,-20.15979897850634,53,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,53,0.212
254,54,-205.8736841934605,-20.169362518244803,54,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,54,0.216
255,55,-205.70657893031643,-20.187928636450145,55,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,55,0.22
256,56,-205.5394736671724,-20.281347386870742,56,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,56,0.224
257,57,-205.37236840402835,-20.38351373336207,57,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,57,0.228
258,58,-205.2052631408843,-20.47743224927909,58,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,58,0.232
259,59,-205.03815787774028,-20.562429781096004,59,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,59,0.236
260,60,-204.8710526145962,-20.63586811095387,60,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,60,0.24
261,61,-204.70394735145217,-20.742882522737407,61,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,61,0.244
262,62,-204.53684208830813,-20.795895062780655,62,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,62,0.248
263,63,-204.3697368251641,-20.811238203498597,63,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,63,0.252
264,64,-204.20263156202006,-20.818806081016476,64,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,64,0.256
265,65,-204.03552629887602,-20.747580998357233,65,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,65,0.26
266,66,-203.86842103573196,-20.592793084830124,66,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,66,0.264
267,67,-203.70131577258792,-20.246778573482683,67,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,67,0.268
268,68,-203.53421050944388,-19.645475687105048,68,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,68,0.272
269,69,-203.36710524629984,-18.930569643827194,69,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,69,0.276
270,70,-203.1999999831558,-17.935635133561544,70,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,70,0.28
271,71,-203.03289472001177,-16.857691954168992,71,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,71,0.284
272,72,-202.8657894568677,-15.679183717732968,72,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,72,0.288
273,73,-202.69868419372366,-14.404717106210681,73,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,73,0.292
274,74,-202.53157893057963,-13.192653186440676,74,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,74,0.296
275,75,-202.3644736674356,-12.055040726582583,75,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,75,0.3
276,76,-202.19736840429155,-11.03371723819756,76,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,76,0.304
277,77,-202.0302631411475,-10.015861510400207,77,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,77,0.308
278,78,-201.86315787800345,-9.158665090772102,78,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,78,0.312
279,79,-201.6960526148594,-8.427698556301799,79,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,79,0.316
280,80,-201.52894735171537,-7.83264783827788,80,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,80,0.32
281,81,-201.36184208857134,-7.150328545228616,81,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,81,0.324
282,82,-201.1947368254273,-6.5431780625658025,82,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,82,0.328
283,83,-201.02763156228323,-5.938706594945269,83,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,83,0.332
284,84,-200.8605262991392,-5.244627513785382,84,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,84,0.336
285,85,-200.69342103599516,-4.518352655404291,85,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,85,0.34
286,86,-200.52631577285112,-3.807196553232568,86,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,86,0.344
287,87,-200.35921050970708,-3.1479548669179724,87,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,87,0.348
288,88,-200.19210524656302,-2.497559369867334,88,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,88,0.352
289,89,-200.02499998341898,-1.885809004777887,89,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,89,0.356
290,90,-199.85789472027494,-1.2949467975814453,90,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,90,0.36
291,91,-199.6907894571309,-0.7759182310297859,91,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,91,0.364
292,92,-199.52368419398687,-0.07115368758831879,92,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,92,0.368
293,93,-199.35657893084283,0.748312136939408,93,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,93,0.372
294,94,-199.18947366769876,1.6062905025823635,94,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,94,0.376
295,95,-199.02236840455473,2.5333996954708597,95,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,95,0.38
296,96,-198.8552631414107,3.4377372605000365,96,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,96,0.384
297,97,-198.68815787826665,4.400941761388213,97,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,97,0.388
298,98,-198.5210526151226,5.163369723778754,98,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,98,0.392
299,99,-198.35394735197855,5.711853856734222,99,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,99,0.396
300,100,-198.1868420888345,6.010183260235396,100,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,100,0.4
301,101,-198.01973682569047,6.205234593998011,101,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,101,0.404
302,102,-197.85263156254643,6.377592494502843,102,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,102,0.408
303,103,-197.6855262994024,6.396607381725456,103,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,103,0.412
304,104,-197.51842103625836,6.377616292859843,104,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,104,0.416
305,105,-197.3513157731143,6.37931617550085,105,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,105,0.42
306,106,-197.18421050997026,6.444972442628107,106,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,106,0.424
307,107,-197.01710524682622,6.368307735517537,107,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,107,0.428
308,108,-196.84999998368218,6.329234233130768,108,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,108,0.432
309,109,-196.68289472053814,6.090597908452097,109,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,109,0.436
310,110,-196.5157894573941,5.872567561148008,110,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,110,0.44
311,111,-196.34868419425004,5.566962659943189,111,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,111,0.444
312,112,-196.181578931106,5.2506858955180205,112,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,112,0.448
313,113,-196.01447366796197,5.040039838406576,113,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,113,0.452
314,114,-195.84736840481793,4.721254047203206,114,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,114,0.456
315,115,-195.6802631416739,4.598199542818874,115,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,115,0.46
316,116,-195.51315787852982,4.48370564741477,116,1,excite,no,1714,400,38,5.984251969,0,1000,490,528,200,0,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv,116,0.464
