scorer,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000,DLC_resnet50_rupertgrantsubFeb16shuffle1_200000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1483.5250244140625,313.69525146484375,0.9174587726593018,1468.240234375,420.0615234375,0.9609369039535522,1591.21435546875,469.2862548828125,0.9067171216011047
1,1483.2220458984375,314.5184326171875,0.9231531620025635,1468.44287109375,420.502197265625,0.9609522819519043,1591.114501953125,470.27783203125,0.9142518043518066
2,1482.7451171875,315.2788391113281,0.9262350797653198,1468.0059814453125,421.28662109375,0.9603160619735718,1590.5333251953125,470.24908447265625,0.9136927127838135
3,1482.601806640625,315.5530090332031,0.9325263500213623,1467.11962890625,421.6927185058594,0.9549162983894348,1590.4447021484375,470.92205810546875,0.9170075058937073
4,1482.318603515625,316.4594421386719,0.9373149871826172,1466.7305908203125,422.5687255859375,0.9509793519973755,1590.0458984375,471.2915344238281,0.9143157005310059
5,1480.297119140625,318.4231872558594,0.9364075064659119,1465.884033203125,423.0429992675781,0.9358276128768921,1590.4119873046875,471.71124267578125,0.9126912951469421
6,1479.8939208984375,319.5124206542969,0.927711009979248,1465.182373046875,423.8823547363281,0.9231915473937988,1589.0137939453125,472.70001220703125,0.9086734056472778
7,1481.18798828125,321.440185546875,0.9182454347610474,1464.8226318359375,425.47607421875,0.9304834604263306,1589.950439453125,472.581298828125,0.911704421043396
8,1479.0325927734375,323.43231201171875,0.9193460941314697,1464.4219970703125,425.4548645019531,0.9353327751159668,1589.7037353515625,473.7158203125,0.9144936800003052
9,1478.712890625,323.9515075683594,0.925910234451294,1464.303466796875,425.8734436035156,0.9412820339202881,1590.04150390625,473.9305114746094,0.9155138731002808
10,1478.1336669921875,324.198486328125,0.9251558780670166,1464.28955078125,426.1266784667969,0.9404410719871521,1589.5777587890625,474.5606994628906,0.9161533117294312
11,1477.609130859375,324.4134216308594,0.9269402027130127,1464.1953125,426.34619140625,0.9454491138458252,1589.46435546875,475.3630676269531,0.9112979173660278
12,1477.3743896484375,324.5301208496094,0.9260615110397339,1464.2337646484375,426.57940673828125,0.9446024894714355,1589.615478515625,475.4697265625,0.9128174781799316
13,1477.204833984375,324.9809875488281,0.9300362467765808,1464.18212890625,427.0740966796875,0.9455448389053345,1589.4052734375,475.842529296875,0.9133386611938477
14,1476.948974609375,325.2157897949219,0.923926830291748,1463.733642578125,427.9992980957031,0.9459338188171387,1588.8914794921875,476.8720397949219,0.9099806547164917
15,1476.843505859375,325.41925048828125,0.9251853823661804,1463.5396728515625,428.4767761230469,0.9438060522079468,1588.8577880859375,477.32745361328125,0.9095326662063599
16,1476.2357177734375,325.50408935546875,0.9234206080436707,1463.2930908203125,428.78955078125,0.9437800645828247,1588.8165283203125,477.89495849609375,0.905299961566925
17,1476.29345703125,325.4838562011719,0.925296425819397,1463.4615478515625,428.8076477050781,0.9436175227165222,1589.3282470703125,477.5809631347656,0.9105188846588135
18,1476.0430908203125,325.358642578125,0.9247344732284546,1463.3240966796875,429.0556335449219,0.9437054395675659,1588.84326171875,477.9208068847656,0.9072663187980652
19,1476.0457763671875,325.4803771972656,0.9248234033584595,1463.0272216796875,429.2667236328125,0.9454377889633179,1589.29052734375,477.4023742675781,0.9094921946525574
20,1475.6341552734375,325.3723449707031,0.9227355718612671,1462.5948486328125,429.3066711425781,0.9479559659957886,1588.7110595703125,478.033935546875,0.9033750295639038
21,1475.697265625,325.35955810546875,0.9232946634292603,1462.3509521484375,429.4284362792969,0.9489060640335083,1588.75927734375,477.62060546875,0.9089245796203613
22,1475.5146484375,325.1485595703125,0.9260026216506958,1462.25146484375,429.5024108886719,0.9500181078910828,1588.5037841796875,477.4716491699219,0.9072116613388062
23,1475.438720703125,325.2467346191406,0.9270369410514832,1462.20703125,429.3292541503906,0.9501030445098877,1588.7779541015625,477.4455871582031,0.9102010130882263
24,1475.2340087890625,324.9937438964844,0.9273675680160522,1461.94775390625,429.1340637207031,0.952095627784729,1588.54248046875,477.5629577636719,0.9051377773284912
25,1475.5421142578125,325.413818359375,0.9262710213661194,1461.48974609375,429.31591796875,0.954393208026886,1588.0474853515625,476.96246337890625,0.9096447825431824
26,1475.5606689453125,325.6296081542969,0.9229429960250854,1461.137451171875,429.66119384765625,0.9574439525604248,1587.9482421875,475.7569274902344,0.9121754169464111
27,1475.2457275390625,327.6556701660156,0.9232754111289978,1459.6004638671875,429.8545227050781,0.9552717208862305,1586.7432861328125,474.38555908203125,0.9012902975082397
28,1474.5380859375,328.2046203613281,0.9240210652351379,1456.78271484375,429.2610778808594,0.9445095062255859,1581.77978515625,473.88885498046875,0.8944655656814575
29,1473.4893798828125,328.9794921875,0.933650016784668,1452.5899658203125,429.0150146484375,0.9448789358139038,1577.6365966796875,472.3728332519531,0.8855279684066772
30,1470.2542724609375,328.6090087890625,0.9306715130805969,1449.374755859375,429.7430114746094,0.931104302406311,1571.2705078125,470.1880798339844,0.9284921884536743
31,1469.4095458984375,329.0303039550781,0.9400680065155029,1444.50927734375,429.7770080566406,0.9511502385139465,1563.0989990234375,468.8472900390625,0.93309485912323
32,1468.3912353515625,329.5080261230469,0.933899998664856,1437.397705078125,428.6485290527344,0.9522883892059326,1555.6026611328125,467.6046142578125,0.94036465883255
33,1466.587646484375,329.5421142578125,0.9282582998275757,1433.8475341796875,426.98052978515625,0.960142195224762,1548.1883544921875,465.2265319824219,0.9351891279220581
34,1463.3028564453125,330.7609558105469,0.9410775899887085,1428.4107666015625,424.6648864746094,0.9488756656646729,1539.79345703125,464.43316650390625,0.9279893040657043
35,1460.6722412109375,329.9621887207031,0.9578539729118347,1423.1468505859375,422.1085510253906,0.9490211009979248,1532.3638916015625,462.4687805175781,0.9087069034576416
