scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1377.6925048828125,183.80548095703125,0.7497512102127075,1355.8853759765625,315.038818359375,0.8122550845146179,1446.0950927734375,393.4672546386719,0.05963265895843506
1,1379.038330078125,185.14476013183594,0.7860839366912842,1356.64892578125,315.7873229980469,0.8043911457061768,1468.5445556640625,366.7684631347656,0.09275555610656738
2,1379.1358642578125,185.8234100341797,0.8053151369094849,1356.75732421875,315.76495361328125,0.8157308101654053,1468.25341796875,366.7856140136719,0.09744784235954285
3,1380.13037109375,184.41714477539062,0.8613936901092529,1356.8282470703125,315.59381103515625,0.819884181022644,1455.286376953125,365.205810546875,0.09110477566719055
4,1379.3675537109375,183.44956970214844,0.8759026527404785,1357.2767333984375,315.52191162109375,0.8239979147911072,1454.6761474609375,365.63983154296875,0.11419937014579773
5,1378.2354736328125,184.6725616455078,0.8554547429084778,1357.365966796875,315.46466064453125,0.8169968128204346,1470.1572265625,367.7845458984375,0.13213059306144714
6,1378.1356201171875,184.7604217529297,0.8155634999275208,1357.395751953125,315.98126220703125,0.8199738264083862,1459.1107177734375,393.259765625,0.029224634170532227
7,1376.218505859375,180.61509704589844,0.7748273015022278,1356.1744384765625,315.3831787109375,0.7936931848526001,1441.6895751953125,393.40545654296875,0.05198505520820618
8,1377.06396484375,184.5091094970703,0.7747979164123535,1356.753173828125,316.613525390625,0.7731406092643738,1371.029052734375,174.90643310546875,0.02687951922416687
9,1375.24853515625,181.8544464111328,0.8477767705917358,1355.9471435546875,316.2735900878906,0.7480700016021729,1439.195556640625,393.20355224609375,0.1857876181602478
10,1374.4248046875,181.33132934570312,0.8876156806945801,1355.7113037109375,316.7450256347656,0.7674638032913208,1443.05224609375,381.22210693359375,0.088623046875
11,1374.4915771484375,179.58912658691406,0.8969265222549438,1355.5928955078125,322.4923400878906,0.70542973279953,1443.0906982421875,386.8569641113281,0.17022234201431274
12,1375.241943359375,180.0281982421875,0.8990020751953125,1356.1610107421875,322.6542053222656,0.7184926271438599,1443.5325927734375,386.7658996582031,0.11623728275299072
13,1374.9521484375,181.56069946289062,0.8905490636825562,1356.100830078125,323.08734130859375,0.7072877287864685,1444.494140625,387.3827819824219,0.11216682195663452
14,1374.812744140625,182.92410278320312,0.9123449921607971,1355.6097412109375,322.9902648925781,0.6966166496276855,1438.681884765625,381.8236999511719,0.10764244198799133
15,1374.485595703125,183.55032348632812,0.9213782548904419,1355.53662109375,322.8785400390625,0.714773952960968,1453.4884033203125,381.09173583984375,0.0745205283164978
16,1374.01318359375,183.1784210205078,0.9175137877464294,1355.50390625,323.2227783203125,0.740533709526062,1438.457275390625,411.40240478515625,0.07042732834815979
17,1373.8695068359375,182.7441864013672,0.902946412563324,1355.3935546875,322.9520263671875,0.7104755640029907,1442.054931640625,408.3904724121094,0.12769412994384766
18,1374.0712890625,182.01283264160156,0.9032362699508667,1355.108642578125,322.6500244140625,0.7041189670562744,1441.6712646484375,408.29840087890625,0.09484466910362244
19,1373.56103515625,181.51803588867188,0.9118998050689697,1354.62158203125,322.9022216796875,0.6922253370285034,1438.7802734375,407.9676208496094,0.1786295473575592
20,1373.334228515625,181.4686279296875,0.9266545176506042,1354.0196533203125,323.0277099609375,0.7006529569625854,1438.299072265625,407.864013671875,0.12868890166282654
21,1373.5775146484375,180.51083374023438,0.9313919544219971,1354.08642578125,322.2263488769531,0.7289906740188599,1437.398681640625,380.34832763671875,0.14435270428657532
22,1374.0379638671875,179.38291931152344,0.9280328154563904,1352.7757568359375,317.2240295410156,0.7283633947372437,1438.3323974609375,406.10296630859375,0.12434491515159607
23,1373.9866943359375,177.90953063964844,0.9001948833465576,1352.6588134765625,316.953125,0.7372764348983765,1437.6177978515625,379.7960205078125,0.15376883745193481
24,1372.779052734375,174.62850952148438,0.8811393976211548,1352.826904296875,316.511962890625,0.7461637854576111,1438.114013671875,379.8729553222656,0.13192683458328247
25,1372.7520751953125,174.06350708007812,0.8991982936859131,1352.8365478515625,315.448974609375,0.731147825717926,1448.4189453125,387.2730407714844,0.14265304803848267
26,1372.1363525390625,174.49795532226562,0.8846350312232971,1352.7535400390625,315.4955139160156,0.7080961465835571,1447.10791015625,391.90679931640625,0.10204833745956421
27,1370.8349609375,173.69386291503906,0.9087318181991577,1351.545166015625,314.6523742675781,0.7062795162200928,1436.531494140625,372.75311279296875,0.04439869523048401
28,1371.081298828125,173.1685028076172,0.9239495992660522,1351.8134765625,314.0088806152344,0.6975382566452026,1450.65478515625,374.825927734375,0.06214475631713867
29,1370.8853759765625,172.91184997558594,0.9192345142364502,1351.635986328125,314.2415771484375,0.6959313154220581,1425.25439453125,390.2454833984375,0.07119959592819214
30,1370.7125244140625,172.41525268554688,0.9099341034889221,1352.9588623046875,315.40753173828125,0.6364253759384155,1438.2784423828125,380.7601623535156,0.0649779736995697
31,1370.307373046875,172.3007049560547,0.901559591293335,1351.1583251953125,314.680419921875,0.6007916927337646,1438.203369140625,380.6626892089844,0.06017804145812988
32,1370.173828125,171.6910858154297,0.8894761800765991,1350.6929931640625,315.93365478515625,0.5941485166549683,1437.421630859375,380.10693359375,0.0903576910495758
33,1368.84375,169.72030639648438,0.9119554758071899,1350.119873046875,316.5016784667969,0.6124345064163208,1438.6751708984375,379.32373046875,0.09062659740447998
34,1368.26171875,169.8515167236328,0.9106436967849731,1350.088134765625,316.12017822265625,0.6523501873016357,1437.87060546875,380.10809326171875,0.15333881974220276
