framenum,TS,NFRAME,SEC,USEC,GPI_LVL,BLK_LVL,FPS
0,1680620829739209,540022,2208,679538,0,0,0.002
1,1680620829743274,540023,2208,683543,0,0,246.002
2,1680620829747320,540024,2208,687550,0,0,247.158
3,1680620829751148,540025,2208,691557,0,0,261.233
4,1680620829755009,540026,2208,695561,0,0,259.000
5,1680620829758957,540027,2208,699568,0,0,253.293
6,1680620829762967,540028,2208,703575,0,0,249.377
7,1680620829766973,540029,2208,707580,0,0,249.626
8,1680620829771262,540030,2208,711587,0,0,233.155
9,1680620829775231,540031,2208,715594,0,0,251.953
10,1680620829779014,540032,2208,719598,0,0,264.340
11,1680620829783042,540033,2208,723605,0,0,248.262
12,1680620829787348,540034,2208,727612,0,0,232.234
13,1680620829791338,540035,2208,731617,0,0,250.627
14,1680620829795377,540036,2208,735624,0,0,247.586
15,1680620829799659,540037,2208,739631,0,0,233.536
16,1680620829803057,540038,2208,743635,0,0,294.291
17,1680620829807066,540039,2208,747642,0,0,249.439
18,1680620829811054,540040,2208,751649,0,0,250.752
19,1680620829815075,540041,2208,755654,0,0,248.694
20,1680620829819069,540042,2208,759661,0,0,250.376
21,1680620829823085,540043,2208,763668,0,0,249.004
22,1680620829827089,540044,2208,767672,0,0,249.750
23,1680620829831377,540045,2208,771679,0,0,233.209
24,1680620829835379,540046,2208,775686,0,0,249.875
25,1680620829839499,540047,2208,779691,0,0,242.718
26,1680620829843640,540048,2208,783698,0,0,241.488
27,1680620829847441,540049,2208,787705,0,0,263.089
28,1680620829851149,540050,2208,791709,0,0,269.687
29,1680620829855145,540051,2208,795716,0,0,250.250
30,1680620829859140,540052,2208,799723,0,0,250.313
31,1680620829863149,540053,2208,803728,0,0,249.439
32,1680620829867140,540054,2208,807735,0,0,250.564
33,1680620829871136,540055,2208,811739,0,0,250.250
34,1680620829875134,540056,2208,815746,0,0,250.125
35,1680620829879380,540057,2208,819753,0,0,235.516
36,1680620829883415,540058,2208,823758,0,0,247.831
37,1680620829887238,540059,2208,827765,0,0,261.575
38,1680620829891187,540060,2208,831772,0,0,253.229
39,1680620829895553,540061,2208,835776,0,0,229.043
40,1680620829899481,540062,2208,839783,0,0,254.582
41,1680620829903572,540063,2208,843790,0,0,244.439
42,1680620829907598,540064,2208,847795,0,0,248.385
43,1680620829911244,540065,2208,851802,0,0,274.273
